id	open	close	type	description	rev	user
117	04/07/25		bug	movie export dialog doesn't restore custom frame size		
1	02/08/25	02/08/25	done	if fullscreen on single monitor, Alt key exits full screen	2.0.00.001	
2	02/08/25	02/08/25	done	if fullscreen on single monitor, file open dialog exits full screen causing render window to disappear	2.0.00.001	
3	02/09/25	02/09/25	done	in Parameters view, tab doesn't continue to next row	2.0.00.001	
4	02/09/25	02/10/25	done	in Parameters view, Ctrl + Num+ shortcut only works if a child control has focus	2.0.00.001	
5	02/10/25	02/10/25	done	rotate speed and skew angle aren't being scaled properly	2.0.00.001	
6	02/10/25	02/11/25	done	parameter rows are shown in a different order; line width and pinwheel moved, handle in row view?	2.0.00.001	
11	02/10/25	02/12/25	done	device lost handling is broken; mistakenly destroying thread due to missing scope, rename to clarify	2.0.00.001	
12	02/15/25	02/16/25	done	drop files not working	2.0.00.001	
13	02/16/25	02/17/25	done	hide mouse automatically in full screen mode	2.0.01.001	
17	02/23/25	02/24/25	done	curve parameters are broken; in DrawRing, AddBeziers must start from &m_aPt[iFirstPoint + 1]	2.0.01.008	
20	02/24/25	02/24/25	done	outline command's menu item doesn't display check	2.0.02.000	JM
19	02/23/25	02/25/25	done	can't match Flying Chicken snapshot; apply zoom to ring origins to match V1 trail behavior	2.0.02.000	
22	02/25/25	02/25/25	done	switching from curved to straight or vice versa causes degenerate ring; add bPrevCurved	2.0.02.000	
16	02/23/25	02/25/25	done	Ctrl+N exits fullscreen exclusive on single monitor even if document is unmodified; disable it	2.0.02.001	
7	02/09/25	02/26/25	done	limit maximum size of floating row view pane to row view size plus space for NC brass and scroll bars	2.0.02.001	
10	02/12/25	02/26/25	done	limit minimum size of floating row view pane to system minimum window size	2.0.02.001	
40	02/25/25	02/26/25	done	MIDI input (fixed mapping)	2.0.02.002	
24	02/25/25	02/26/25	done	MIDI mapping	2.0.03.002	
18	02/23/25	02/27/25	done	loading a snapshot should update zoom in master pane	2.0.04.000	
21	02/25/25	02/27/25	done	disable undo/redo while in snapshot mode	2.0.04.000	
48	02/27/25	02/27/25	done	toolbar needs a pause button	2.0.04.000	
50	02/27/25	02/27/25	done	implement hue loop	2.0.04.000	
25	02/25/25	02/28/25	done	new playlist format; use INI file this time	2.0.04.001	
42	02/27/25	02/28/25	done	mapping pane should support undo	2.0.04.001	
43	02/27/25	02/28/25	done	mapping persistence, in playlist as before	2.0.04.001	
52	02/28/25	02/28/25	done	some parameters can't be set back to exactly zero via MIDI; add a center epsilon	2.0.05.000	JM
46	02/27/25	03/01/25	done	add miscellaneous mapping targets	2.0.06.000	
56	02/28/25	03/01/25	done	add option to set maximum number of items in recently used file lists	2.0.06.000	
44	02/27/25	03/01/25	done	add MIDI learn	2.0.06.001	
45	02/27/25	03/02/25	done	mapping for other parameter properties: waveform, amplitude, frequency, pulse width	2.0.07.002	
47	02/27/25	03/02/25	done	global parameters	2.0.07.002	
41	02/27/25	03/02/25	done	document edits made via MIDI shouldn't be undoable, to avoid excessive undo history	2.0.07.005	
62	02/08/25	03/02/25	done	automated undo testing; one test for document, another for mapping	2.0.07.006	
63	03/02/25	03/02/25	done	fix crash during mapping test; when removing all rings, m_posDel must also be reset	2.0.08.000	
64	03/02/25	03/03/25	done	if render command queue is full, worker thread should retry, and notify main thread only if retry fails	2.0.09.000	
57	03/01/25	03/03/25	done	reset row view column widths; add context menu to column header	2.0.09.001	
65	03/02/25	03/03/25	done	in snapshot mode, zooming (or any other edits) shouldn't set document modified flag	2.0.09.002	
55	02/28/25	03/03/25	done	pitch bend mapping should use full resolution (14 bits)	2.0.09.003	
67	03/04/25	03/04/25	done	points buffer overrun if Ring Sides = 50, curves = true, Fill = true, ring count >= 2, and Global Ring Sides >= 1	2.0.09.005	
