open	close	type	description	rev
04/21/05	04/30/05	done	add lightness and saturation controls	1.0.21
04/21/05	04/30/05	done	add printer support	1.0.21
04/21/05	04/30/05	done	add variable background color	1.0.21
04/21/05	04/30/05	done	changing frequency should not affect phase	1.0.21
04/21/05	05/05/05	done	in crossfader, implement non-looped fade	1.0.22
04/21/05	05/05/05	done	in crossfader, play must set osc phase from fader pos	1.0.22
04/21/05	05/05/05	done	in crossfader, separate edit from view	1.0.22
04/21/05	05/07/05	done	add bitmap export	1.0.23
05/05/05	05/09/05	done	in crossfader, edit buttons should show params dialog	1.0.24
05/07/05	05/09/05	done	paint after pause causes center hole; pause must undo last ring step	1.0.24
04/21/05	05/11/05	done	use DirectDraw	1.0.25
05/11/05	05/11/05	done	for printing, draw to memory DC and blit, else lines are too thin	1.0.26
05/11/05	05/11/05	done	move GDI back buffer to its own object	1.0.26
05/10/05	05/12/05	done	adapt for DirectX 7	1.0.26
04/21/05	05/16/05	done	can't drag and drop shapshot files	1.0.27
04/21/05	05/16/05	done	seed random number generator	1.0.27
05/10/05	05/16/05	done	allow order of parms dlg rows and view params to differ	1.0.27
05/10/05	05/16/05	done	switching from non-maximized to full screen and exiting breaks full screen on next run	1.0.27
05/13/05	05/16/05	done	opening a new document doesn't update parms dialog's title	1.0.27
04/21/05	05/17/05	done	add pulse width column to parms dialog	1.0.28
05/10/05	05/17/05	done	parms dlg is too big, make it a scrollable view	1.0.28
05/15/05	05/18/05	done	add command to generate random patches from crossfader inputs	1.0.29
05/15/05	05/18/05	done	add command to randomize phase of LFOs	1.0.29
05/15/05	05/18/05	done	add pinwheel parameter	1.0.29
04/21/05	05/19/05	done	in parms dialog, tab at end of row should go to next row; shift+tab is reverse case	1.0.29
05/19/05	05/20/05	done	add ring fill and outline	1.0.30
05/19/05	05/20/05	done	zero window width or height crashes DirectDraw	1.0.30
05/21/05	05/22/05	done	doc info shouldn't live in CrossDlg	1.0.31
05/21/05	05/25/05	done	add splitter window for multiple views	1.0.32
05/22/05	05/26/05	done	add set origin via context menu	1.0.33
05/26/05	05/26/05	done	dropping a file in split mode must set active pane first	1.0.33
05/26/05	05/26/05	done	fill mode and origin should be saved in document	1.0.33
05/27/05	05/28/05	done	save as doesn't change parms dialog title	1.0.33
05/31/05	06/01/05	done	if 2 panes, splitter isn't centered: switch rows and cols in centering line	1.0.34
